"","ym","userAgeBracket","male","female","sessions"
"1",Sep 2015,"18-24",30983,55056,86039
"2",Sep 2015,"25-34",29371,39118,68489
"3",Sep 2015,"35-44",15158,17919,33077
"4",Sep 2015,"45-54",11550,13549,25099
"5",Sep 2015,"55-64",7528,8283,15811
"6",Sep 2015,"65+",5286,4124,9410
"7",Oct 2015,"18-24",33764,61311,95075
"8",Oct 2015,"25-34",29748,40992,70740
"9",Oct 2015,"35-44",16629,19318,35947
"10",Oct 2015,"45-54",11731,14600,26331
"11",Oct 2015,"55-64",7837,8723,16560
"12",Oct 2015,"65+",4851,3557,8408
"13",Nov 2015,"18-24",41663,72189,113852
"14",Nov 2015,"25-34",30587,39463,70050
"15",Nov 2015,"35-44",15619,17577,33196
"16",Nov 2015,"45-54",11793,13633,25426
"17",Nov 2015,"55-64",7869,8173,16042
"18",Nov 2015,"65+",5427,3756,9183
"19",Dec 2015,"18-24",33803,54355,88158
"20",Dec 2015,"25-34",27347,33585,60932
"21",Dec 2015,"35-44",12760,14844,27604
"22",Dec 2015,"45-54",10107,11075,21182
"23",Dec 2015,"55-64",6559,6792,13351
"24",Dec 2015,"65+",4820,3312,8132
"25",Jan 2016,"18-24",38550,62977,101527
"26",Jan 2016,"25-34",32815,40666,73481
"27",Jan 2016,"35-44",15979,17881,33860
"28",Jan 2016,"45-54",12241,13502,25743
"29",Jan 2016,"55-64",7956,7867,15823
"30",Jan 2016,"65+",5607,4431,10038
"31",Feb 2016,"18-24",42508,69904,112412
"32",Feb 2016,"25-34",32440,40439,72879
"33",Feb 2016,"35-44",17103,19539,36642
"34",Feb 2016,"45-54",12275,14501,26776
"35",Feb 2016,"55-64",7745,7833,15578
"36",Feb 2016,"65+",5367,4218,9585
"37",Mar 2016,"18-24",41615,68828,110443
"38",Mar 2016,"25-34",32859,43424,76283
"39",Mar 2016,"35-44",15828,19903,35731
"40",Mar 2016,"45-54",13568,16811,30379
"41",Mar 2016,"55-64",8512,8579,17091
"42",Mar 2016,"65+",5758,4371,10129
"43",Apr 2016,"18-24",43346,73313,116659
"44",Apr 2016,"25-34",34654,43695,78349
"45",Apr 2016,"35-44",15733,19398,35131
"46",Apr 2016,"45-54",13272,16691,29963
"47",Apr 2016,"55-64",8152,8119,16271
"48",Apr 2016,"65+",4920,3807,8727
"49",May 2016,"18-24",34322,58223,92545
"50",May 2016,"25-34",34976,41401,76377
"51",May 2016,"35-44",16432,19162,35594
"52",May 2016,"45-54",11100,14115,25215
"53",May 2016,"55-64",7029,7205,14234
"54",May 2016,"65+",4400,3834,8234
"55",Jun 2016,"18-24",27236,45530,72766
"56",Jun 2016,"25-34",25486,31477,56963
"57",Jun 2016,"35-44",13695,14911,28606
"58",Jun 2016,"45-54",8882,10944,19826
"59",Jun 2016,"55-64",5653,5906,11559
"60",Jun 2016,"65+",3233,2750,5983
"61",Jul 2016,"18-24",27012,46315,73327
"62",Jul 2016,"25-34",24514,30592,55106
"63",Jul 2016,"35-44",12995,14383,27378
"64",Jul 2016,"45-54",8785,10213,18998
"65",Jul 2016,"55-64",4860,5594,10454
"66",Jul 2016,"65+",3628,2585,6213
"67",Aug 2016,"18-24",37194,65736,102930
"68",Aug 2016,"25-34",31565,38527,70092
"69",Aug 2016,"35-44",16143,19103,35246
"70",Aug 2016,"45-54",11404,13583,24987
"71",Aug 2016,"55-64",6072,7079,13151
"72",Aug 2016,"65+",3796,3311,7107
"73",Sep 2016,"18-24",38149,67396,105545
"74",Sep 2016,"25-34",30860,36573,67433
"75",Sep 2016,"35-44",15963,18114,34077
"76",Sep 2016,"45-54",11172,13306,24478
"77",Sep 2016,"55-64",6422,6634,13056
"78",Sep 2016,"65+",3737,3267,7004
"79",Oct 2016,"18-24",37395,65771,103166
"80",Oct 2016,"25-34",30363,36985,67348
"81",Oct 2016,"35-44",14960,17210,32170
"82",Oct 2016,"45-54",10702,13195,23897
"83",Oct 2016,"55-64",6246,7216,13462
"84",Oct 2016,"65+",3910,3328,7238
"85",Nov 2016,"18-24",23817,43251,67068
"86",Nov 2016,"25-34",18524,23233,41757
"87",Nov 2016,"35-44",9005,11087,20092
"88",Nov 2016,"45-54",6534,7387,13921
"89",Nov 2016,"55-64",3829,4392,8221
"90",Nov 2016,"65+",2251,2130,4381
"91",Dec 2016,"18-24",32574,55635,88209
"92",Dec 2016,"25-34",29255,32395,61650
"93",Dec 2016,"35-44",14567,14630,29197
"94",Dec 2016,"45-54",10393,11232,21625
"95",Dec 2016,"55-64",6213,5779,11992
"96",Dec 2016,"65+",3591,2927,6518
"97",Jan 2017,"18-24",41584,67503,109087
"98",Jan 2017,"25-34",41508,41504,83012
"99",Jan 2017,"35-44",20260,18598,38858
"100",Jan 2017,"45-54",13493,13611,27104
"101",Jan 2017,"55-64",6942,7172,14114
"102",Jan 2017,"65+",4578,3680,8258
"103",Feb 2017,"18-24",40226,63666,103892
"104",Feb 2017,"25-34",37538,37510,75048
"105",Feb 2017,"35-44",19002,18656,37658
"106",Feb 2017,"45-54",12636,14691,27327
"107",Feb 2017,"55-64",6944,7530,14474
"108",Feb 2017,"65+",4759,3853,8612
"109",Mar 2017,"18-24",41257,69733,110990
"110",Mar 2017,"25-34",37428,41012,78440
"111",Mar 2017,"35-44",19668,20277,39945
"112",Mar 2017,"45-54",14304,16331,30635
"113",Mar 2017,"55-64",7639,8787,16426
"114",Mar 2017,"65+",4546,4033,8579
